VendorID,pickup_datetime,dropoff_datetime,passenger_count,trip_distance,PULocationID,DOLocationID,RateCodeID,store_and_fwd_flag,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,year,is_covid_rel
2,2011-06-04 14:06:00,2011-06-04 14:19:00,1.0,5.86,223,112,1.0,,cash,14.9,0.0,0.5,0.0,0.0,0.0,15.4,2011,False
1,2011-06-14 10:54:48,2011-06-14 11:02:18,1.0,1.3,170,90,1.0,N,cash,6.5,0.0,0.5,0.0,0.0,0.0,7.0,2011,False
2,2011-06-16 14:57:00,2011-06-16 15:02:00,1.0,0.64,48,48,1.0,,credit_card,4.5,0.0,0.5,1.0,0.0,0.0,6.0,2011,False
1,2011-07-30 00:29:59,2011-07-30 00:36:02,1.0,0.9,33,33,1.0,N,cash,5.3,0.5,0.5,0.0,0.0,0.0,6.3,2011,False
1,2011-07-29 01:13:56,2011-07-29 01:17:47,1.0,0.6,211,231,1.0,N,cash,4.1,0.5,0.5,0.0,0.0,0.0,5.1,2011,False
1,2011-07-30 04:14:56,2011-07-30 04:18:50,2.0,1.2,107,170,1.0,N,cash,4.9,0.5,0.5,0.0,0.0,0.0,5.9,2011,False
1,2011-07-15 21:59:10,2011-07-15 22:05:29,1.0,2.2,261,113,1.0,N,cash,6.9,0.5,0.5,0.0,0.0,0.0,7.9,2011,False
2,2011-07-08 01:06:00,2011-07-08 01:20:00,1.0,4.15,236,107,1.0,,cash,11.7,0.5,0.5,0.0,0.0,0.0,12.7,2011,False
1,2011-07-12 18:36:39,2011-07-12 18:51:28,4.0,1.0,162,48,1.0,N,cash,8.5,1.0,0.5,0.0,0.0,0.0,10.0,2011,False
2,2011-07-12 09:30:00,2011-07-12 09:39:00,1.0,1.24,48,246,1.0,,cash,6.5,0.0,0.5,0.0,0.0,0.0,7.0,2011,False
2,2011-07-05 17:35:00,2011-07-05 18:03:00,1.0,9.58,138,163,1.0,,credit_card,24.5,1.0,0.5,5.1,4.8,0.0,35.9,2011,False
1,2011-07-27 12:37:45,2011-07-27 12:57:14,1.0,4.5,162,162,1.0,N,cash,14.1,0.0,0.5,0.0,0.0,0.0,14.6,2011,False
2,2011-07-07 21:53:00,2011-07-07 21:56:00,1.0,0.66,107,224,1.0,,cash,4.5,0.5,0.5,0.0,0.0,0.0,5.5,2011,False
